trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11062744-MM2025-InvFes-Dimanche-00,10:52:38,10:52:38,MM04,4,0,0
11062744-MM2025-InvFes-Dimanche-00,10:54:00,10:54:00,MM05,5,0,0
11062744-MM2025-InvFes-Dimanche-00,10:55:51,10:55:51,MM07,6,0,0
11062744-MM2025-InvFes-Dimanche-00,10:57:00,10:57:00,MM06,7,0,0
11062744-MM2025-InvFes-Dimanche-00,11:03:00,11:03:00,MM08,8,0,0
11062745-MM2025-InvFes-Dimanche-00,10:55:00,10:55:00,MM03,1,0,0
11062745-MM2025-InvFes-Dimanche-00,10:59:00,10:59:00,MM02,2,0,0
11062745-MM2025-InvFes-Dimanche-00,11:01:00,11:01:00,MM01,3,0,0
11062745-MM2025-InvFes-Dimanche-00,11:02:38,11:02:38,MM04,4,0,0
11062745-MM2025-InvFes-Dimanche-00,11:04:00,11:04:00,MM05,5,0,0
11062745-MM2025-InvFes-Dimanche-00,11:05:51,11:05:51,MM07,6,0,0
11062745-MM2025-InvFes-Dimanche-00,11:07:00,11:07:00,MM06,7,0,0
11062745-MM2025-InvFes-Dimanche-00,11:13:00,11:13:00,MM08,8,0,0
11062746-MM2025-InvFes-Dimanche-00,11:05:00,11:05:00,MM03,1,0,0
11062746-MM2025-InvFes-Dimanche-00,11:09:00,11:09:00,MM02,2,0,0
11062746-MM2025-InvFes-Dimanche-00,11:11:00,11:11:00,MM01,3,0,0
11062746-MM2025-InvFes-Dimanche-00,11:12:38,11:12:38,MM04,4,0,0
11062746-MM2025-InvFes-Dimanche-00,11:14:00,11:14:00,MM05,5,0,0
11062746-MM2025-InvFes-Dimanche-00,11:15:51,11:15:51,MM07,6,0,0
11062746-MM2025-InvFes-Dimanche-00,11:17:00,11:17:00,MM06,7,0,0
11062746-MM2025-InvFes-Dimanche-00,11:23:00,11:23:00,MM08,8,0,0
11062747-MM2025-InvFes-Dimanche-00,11:25:00,11:25:00,MM03,1,0,0
11062747-MM2025-InvFes-Dimanche-00,11:29:00,11:29:00,MM02,2,0,0
11062747-MM2025-InvFes-Dimanche-00,11:31:00,11:31:00,MM01,3,0,0
11062747-MM2025-InvFes-Dimanche-00,11:32:38,11:32:38,MM04,4,0,0
11062747-MM2025-InvFes-Dimanche-00,11:34:00,11:34:00,MM05,5,0,0
11062747-MM2025-InvFes-Dimanche-00,11:35:51,11:35:51,MM07,6,0,0
11062747-MM2025-InvFes-Dimanche-00,11:37:00,11:37:00,MM06,7,0,0
11062747-MM2025-InvFes-Dimanche-00,11:43:00,11:43:00,MM08,8,0,0
11062748-MM2025-InvFes-Dimanche-00,11:35:00,11:35:00,MM03,1,0,0
11062748-MM2025-InvFes-Dimanche-00,11:39:00,11:39:00,MM02,2,0,0
11062748-MM2025-InvFes-Dimanche-00,11:41:00,11:41:00,MM01,3,0,0
11062748-MM2025-InvFes-Dimanche-00,11:42:38,11:42:38,MM04,4,0,0
11062748-MM2025-InvFes-Dimanche-00,11:44:00,11:44:00,MM05,5,0,0
11062748-MM2025-InvFes-Dimanche-00,11:45:51,11:45:51,MM07,6,0,0
11062748-MM2025-InvFes-Dimanche-00,11:47:00,11:47:00,MM06,7,0,0
11062748-MM2025-InvFes-Dimanche-00,11:53:00,11:53:00,MM08,8,0,0
11062749-MM2025-InvFes-Dimanche-00,11:45:00,11:45:00,MM03,1,0,0
11062749-MM2025-InvFes-Dimanche-00,11:49:00,11:49:00,MM02,2,0,0
11062749-MM2025-InvFes-Dimanche-00,11:51:00,11:51:00,MM01,3,0,0
11062749-MM2025-InvFes-Dimanche-00,11:52:38,11:52:38,MM04,4,0,0
11062749-MM2025-InvFes-Dimanche-00,11:54:00,11:54:00,MM05,5,0,0
11062749-MM2025-InvFes-Dimanche-00,11:55:51,11:55:51,MM07,6,0,0
